"id","owner_first_name","owner_last_name","business_name","business_address","business_phone_number","bir_registration_url","business_certificate_url","mayors_permit_url","username","email","cover_photo_url","services_offered","does_delivery","about_business","exact_location","business_hours","is_online","open_hours","availability_status","operating_hours","time_slots","latitude","longitude","status","rejection_reason","rejection_notes"
"8caf0e9f-bf1f-4fbf-afbf-1234567890cd","Teresita","Flores","Crystal Clean Laundry","Poblacion, Brgy. Irawan, Puerto Princesa City","0942-333-4444","","","","crystalclean","crystalclean@yahoo.com","","[{""service"": ""Wash & Fold"", ""price"": 38}, {""service"": ""Dry Cleaning"", ""price"": 130}, {""service"": ""Ironing"", ""price"": 25}]","true","Full-service laundry in Irawan offering wash & fold, dry cleaning, and ironing services. Reliable and affordable.","Poblacion, Brgy. Irawan","{""monday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""tuesday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""wednesday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""thursday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""friday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""saturday"": {""open"": ""07:00"", ""close"": ""18:00""}, ""sunday"": {""open"": ""08:00"", ""close"": ""17:00""}}","true","7:00 AM - 6:00 PM","Open Slots","{""open_hour"": 7, ""close_hour"": 18, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""07:00-09:00"", ""available"": true}, {""slot"": ""09:00-11:00"", ""available"": true}]","9.7450","118.7450","pending","",""
"9dbf0faf-cf2f-4fcf-bfcf-2345678901cd","Francisco","Ramos","Rapid Wash Laundry","District 1, Brgy. Santa Lourdes, Puerto Princesa City","0935-765-4321","","","","rapidwash","rapidwash@outlook.com","","[{""service"": ""Express Wash"", ""price"": 45}, {""service"": ""Regular Wash"", ""price"": 32}, {""service"": ""Large Items"", ""price"": 85}]","true","Fast and efficient laundry service in Santa Lourdes. Express service available for urgent needs with same-day delivery.","District 1, Brgy. Santa Lourdes","{""monday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""tuesday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""wednesday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""thursday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""friday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""saturday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""sunday"": {""open"": ""08:00"", ""close"": ""18:00""}}","true","7:00 AM - 7:00 PM","Open Slots","{""open_hour"": 7, ""close_hour"": 19, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""07:00-09:00"", ""available"": true}, {""slot"": ""09:00-11:00"", ""available"": true}]","9.7520","118.7520","pending","",""
"0ebf1faf-df3f-4fdf-bfdf-3456789012cd","Victoria","Gonzales","Fresh Start Laundry","Zone 4, Brgy. Sicsican, Puerto Princesa City","0944-222-3333","","","","freshstart","freshstart@gmail.com","","[{""service"": ""Regular Laundry"", ""price"": 36}, {""service"": ""Comforter Cleaning"", ""price"": 180}, {""service"": ""Stain Removal"", ""price"": 15}]","true","Modern laundry facility in Sicsican offering comprehensive cleaning services with stain removal specialty.","Zone 4, Brgy. Sicsican","{""monday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""tuesday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""wednesday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""thursday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""friday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""saturday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""sunday"": {""open"": ""09:00"", ""close"": ""17:00""}}","true","8:00 AM - 6:00 PM","Open Slots","{""open_hour"": 8, ""close_hour"": 18, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""08:00-10:00"", ""available"": true}, {""slot"": ""10:00-12:00"", ""available"": true}]","9.7280","118.7280","pending","",""
"1fcf2faf-ef4f-4fef-bfef-4567890123cd","Guillermo","Torres","Perfect Wash Laundry","Barangay Road, Brgy. Bahile, Puerto Princesa City","0937-888-9999","","","","perfectwash","perfectwash@yahoo.com","","[{""service"": ""Basic Wash"", ""price"": 33}, {""service"": ""Premium Wash"", ""price"": 48}, {""service"": ""Delicate Items"", ""price"": 65}]","true","Community-focused laundry service in Bahile offering basic to premium wash options with careful handling of delicate items.","Barangay Road, Brgy. Bahile","{""monday"": {""open"": ""07:30"", ""close"": ""17:30""}, ""tuesday"": {""open"": ""07:30"", ""close"": ""17:30""}, ""wednesday"": {""open"": ""07:30"", ""close"": ""17:30""}, ""thursday"": {""open"": ""07:30"", ""close"": ""17:30""}, ""friday"": {""open"": ""07:30"", ""close"": ""17:30""}, ""saturday"": {""open"": ""07:30"", ""close"": ""17:30""}, ""sunday"": {""open"": ""08:00"", ""close"": ""16:00""}}","true","7:30 AM - 5:30 PM","Open Slots","{""open_hour"": 7, ""close_hour"": 17, ""open_minute"": 30, ""close_minute"": 30}","[{""slot"": ""07:30-09:30"", ""available"": true}, {""slot"": ""09:30-11:30"", ""available"": true}]","9.7650","118.7650","pending","",""
"2fdf3faf-ff5f-4fff-bfff-5678901234cd","Beatriz","Morales","Ocean Breeze Laundry","Coastal Road, Brgy. Maningning, Puerto Princesa City","0946-555-6666","","","","oceanbreeze","oceanbreeze@outlook.com","","[{""service"": ""Wash & Fold"", ""price"": 37}, {""service"": ""Beach Towels"", ""price"": 55}, {""service"": ""Uniform Cleaning"", ""price"": 42}]","true","Laundry service near coastal areas specializing in beach-related items and uniforms for tourism workers.","Coastal Road, Brgy. Maningning","{""monday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""tuesday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""wednesday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""thursday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""friday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""saturday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""sunday"": {""open"": ""09:00"", ""close"": ""17:00""}}","true","8:00 AM - 6:00 PM","Open Slots","{""open_hour"": 8, ""close_hour"": 18, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""08:00-10:00"", ""available"": true}, {""slot"": ""10:00-12:00"", ""available"": true}]","9.7580","118.7580","pending","",""
"3fdf4faf-0f6f-4f0f-c0f0-6789012345cd","Carlos","Reyes","Island Fresh Laundry","Main Highway, Brgy. Tagburos, Puerto Princesa City","0933-777-8888","","","","islandfresh","islandfresh@gmail.com","","[{""service"": ""Regular Laundry"", ""price"": 34}, {""service"": ""Express Service"", ""price"": 55}, {""service"": ""Commercial Laundry"", ""price"": 28}]","true","Serving the Tagburos community with reliable laundry services including commercial accounts for small businesses.","Main Highway, Brgy. Tagburos","{""monday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""tuesday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""wednesday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""thursday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""friday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""saturday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""sunday"": {""open"": ""08:00"", ""close"": ""18:00""}}","true","7:00 AM - 7:00 PM","Open Slots","{""open_hour"": 7, ""close_hour"": 19, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""07:00-09:00"", ""available"": true}, {""slot"": ""09:00-11:00"", ""available"": true}]","9.7620","118.7620","pending","",""
"4fdf5faf-1f7f-4f1f-d1f1-7890123456cd","Consuelo","Valdez","Pristine Laundry Solutions","Zone 5, Brgy. Napsan, Puerto Princesa City","0949-999-0000","","","","pristine","pristine@yahoo.com","","[{""service"": ""Eco Wash"", ""price"": 40}, {""service"": ""Delicate Wash"", ""price"": 58}, {""service"": ""Bulk Service"", ""price"": 25}]","true","Eco-friendly laundry service in Napsan using biodegradable detergents. Specializes in delicate fabrics and bulk orders.","Zone 5, Brgy. Napsan","{""monday"": {""open"": ""08:00"", ""close"": ""17:00""}, ""tuesday"": {""open"": ""08:00"", ""close"": ""17:00""}, ""wednesday"": {""open"": ""08:00"", ""close"": ""17:00""}, ""thursday"": {""open"": ""08:00"", ""close"": ""17:00""}, ""friday"": {""open"": ""08:00"", ""close"": ""17:00""}, ""saturday"": {""open"": ""08:00"", ""close"": ""17:00""}, ""sunday"": {""open"": ""09:00"", ""close"": ""16:00""}}","true","8:00 AM - 5:00 PM","Open Slots","{""open_hour"": 8, ""close_hour"": 17, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""08:00-10:00"", ""available"": true}, {""slot"": ""10:00-12:00"", ""available"": true}]","9.7700","118.7700","pending","",""
"5fdf6faf-2f8f-4f2f-d2f2-8901234567cd","Jorge","Hernandez","Babuyan Bay Laundry","Sitio 1, Brgy. Babuyan, Puerto Princesa City","0945-111-2222","","","","babuyanbay","babuyanbay@gmail.com","","[{""service"": ""Regular Wash"", ""price"": 32}, {""service"": ""Fishing Gear Clean"", ""price"": 75}, {""service"": ""Family Packages"", ""price"": 85}]","true","Coastal laundry serving fishing communities in Babuyan. Specializes in fishing gear cleaning and family package deals.","Sitio 1, Brgy. Babuyan","{""monday"": {""open"": ""06:30"", ""close"": ""18:30""}, ""tuesday"": {""open"": ""06:30"", ""close"": ""18:30""}, ""wednesday"": {""open"": ""06:30"", ""close"": ""18:30""}, ""thursday"": {""open"": ""06:30"", ""close"": ""18:30""}, ""friday"": {""open"": ""06:30"", ""close"": ""18:30""}, ""saturday"": {""open"": ""06:30"", ""close"": ""18:30""}, ""sunday"": {""open"": ""07:00"", ""close"": ""17:00""}}","true","6:30 AM - 6:30 PM","Open Slots","{""open_hour"": 6, ""close_hour"": 18, ""open_minute"": 30, ""close_minute"": 30}","[{""slot"": ""06:30-08:30"", ""available"": true}, {""slot"": ""08:30-10:30"", ""available"": true}]","9.7550","118.7550","pending","",""
"6fdf7faf-3f9f-4f3f-d3f3-9012345678cd","Luisa","Martinez","Bacungan Fresh Wash","Purok 5, Brgy. Bacungan, Puerto Princesa City","0946-222-3333","","","","bacunganfresh","bacunganfresh@yahoo.com","","[{""service"": ""Wash & Fold"", ""price"": 35}, {""service"": ""Agricultural Uniforms"", ""price"": 45}, {""service"": ""Bulk Discount"", ""price"": 28}]","true","Serving the agricultural community in Bacungan with specialized cleaning for work uniforms and bulk laundry services.","Purok 5, Brgy. Bacungan","{""monday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""tuesday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""wednesday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""thursday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""friday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""saturday"": {""open"": ""07:00"", ""close"": ""19:00""}, ""sunday"": {""open"": ""08:00"", ""close"": ""18:00""}}","true","7:00 AM - 7:00 PM","Open Slots","{""open_hour"": 7, ""close_hour"": 19, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""07:00-09:00"", ""available"": true}, {""slot"": ""09:00-11:00"", ""available"": true}]","9.7450","118.7450","pending","",""
"7fdf8faf-4f0f-4f4f-d4f4-0123456789cd","Ricardo","Gomez","Bagong Bayan Laundry","Centro, Brgy. Bagong Bayan, Puerto Princesa City","0947-333-4444","","","","bagongbayan","bagongbayan@gmail.com","","[{""service"": ""Regular Wash"", ""price"": 30}, {""service"": ""Express 3-Hour"", ""price"": 50}, {""service"": ""Student Discount"", ""price"": 25}]","true","Community-focused laundry in Bagong Bayan with special rates for students and express service for busy residents.","Centro, Brgy. Bagong Bayan","{""monday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""tuesday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""wednesday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""thursday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""friday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""saturday"": {""open"": ""08:00"", ""close"": ""18:00""}, ""sunday"": {""open"": ""09:00"", ""close"": ""17:00""}}","true","8:00 AM - 6:00 PM","Open Slots","{""open_hour"": 8, ""close_hour"": 18, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""08:00-10:00"", ""available"": true}, {""slot"": ""10:00-12:00"", ""available"": true}]","9.7400","118.7400","pending","",""
"8fdf9faf-5f0f-4f5f-d5f5-1234567890cd","Patricia","Silva","Bagong Pag-asa Laundry","Zone 1, Brgy. Bagong Pag-asa, Puerto Princesa City","0948-444-5555","","","","bagongpagasa","bagongpagasa@yahoo.com","","[{""service"": ""Eco Wash"", ""price"": 38}, {""service"": ""Organic Detergent"", ""price"": 42}, {""service"": ""Green Cleaning"", ""price"": 48}]","true","Environmentally conscious laundry service in Bagong Pag-asa using organic detergents and eco-friendly cleaning methods.","Zone 1, Brgy. Bagong Pag-asa","{""monday"": {""open"": ""08:30"", ""close"": ""17:30""}, ""tuesday"": {""open"": ""08:30"", ""close"": ""17:30""}, ""wednesday"": {""open"": ""08:30"", ""close"": ""17:30""}, ""thursday"": {""open"": ""08:30"", ""close"": ""17:30""}, ""friday"": {""open"": ""08:30"", ""close"": ""17:30""}, ""saturday"": {""open"": ""08:30"", ""close"": ""17:30""}, ""sunday"": {""open"": ""09:00"", ""close"": ""16:00""}}","true","8:30 AM - 5:30 PM","Open Slots","{""open_hour"": 8, ""close_hour"": 17, ""open_minute"": 30, ""close_minute"": 30}","[{""slot"": ""08:30-10:30"", ""available"": true}, {""slot"": ""10:30-12:30"", ""available"": true}]","9.7350","118.7350","pending","",""
"9fdf0faf-6f0f-4f6f-d6f6-2345678901cd","Miguel","Santos","Bagong Sikat Laundry","Main Road, Brgy. Bagong Sikat, Puerto Princesa City","0949-555-6666","","","","bagongsikat","bagongsikat@gmail.com","","[{""service"": ""Regular Wash"", ""price"": 33}, {""service"": ""Family Packages"", ""price"": 80}, {""service"": ""Quick Service"", ""price"": 40}]","true","Busy laundry serving the populous Bagong Sikat area with family packages and quick turnaround services for working families.","Main Road, Brgy. Bagong Sikat","{""monday"": {""open"": ""07:00"", ""close"": ""20:00""}, ""tuesday"": {""open"": ""07:00"", ""close"": ""20:00""}, ""wednesday"": {""open"": ""07:00"", ""close"": ""20:00""}, ""thursday"": {""open"": ""07:00"", ""close"": ""20:00""}, ""friday"": {""open"": ""07:00"", ""close"": ""20:00""}, ""saturday"": {""open"": ""07:00"", ""close"": ""20:00""}, ""sunday"": {""open"": ""08:00"", ""close"": ""19:00""}}","true","7:00 AM - 8:00 PM","Open Slots","{""open_hour"": 7, ""close_hour"": 20, ""open_minute"": 0, ""close_minute"": 0}","[{""slot"": ""07:00-09:00"", ""available"": true}, {""slot"": ""09:00-11:00"", ""available"": true}]","9.7380","118.7380","pending","",""
